citizen_id,std_fname,std_lname,std_school,std_point
 8162431129122,สายสาคเรศ,ณรงค์,สารวิทยา,0
 9063217113598,บัวสุวรรณ,ผกามาศ,นวมินทราชูทิศ กรุงเทพมหานคร,1
 4945876131223,สายสาคเรศ,บุญมา,สารวิทยา,99
 4989875676467,สายสาคเรศ,อิ๋ว,นวมินทราชูทิศ กรุงเทพมหานคร,100
 9586917322261,นาโค,นภาพร,หอวัง,-1
 7103117517151,แซ่แป๊ะ,สันติ,ฤทธิยะวรรณาลัย,101
 8314157572273,แซ่แป๊ะ,เรณู,หอวัง,100'
 6911672973491,ดิษฐาน,ฉันทพัทธ์,ฤทธิยะวรรณาลัย,"""100"""
,ดิษฐาน,วิชิต,นวมินทราชูทิศ กรุงเทพมหานคร,70
 9974915498510,,วิไลพร,สารวิทยา,69
 1421416214067,มุกดาสกุลภิบาล,,นวมินทราชูทิศ กรุงเทพมหานคร,88
 8736419594871,มุกดาสกุลภิบาล,วิไลลักษณ์,,81
 1420521382356,มุกดาสกุลภิบาล,ปรีชา,เตรียมอุดมศึกษาน้อมเกล้า,69
 9353431648798,เชื้อเงิน,วีณา,ฤทธิยะวรรณาลัย,63
 7951028907116,มุกดาสกุลภิบาล,จรูญศรี,สารวิทยา,66
 9050713577979,สุทธิตันตยาภรณ์,เฉลย,เตรียมอุดมศึกษาน้อมเกล้า,69
 8494474814900,สุทธิตันตยาภรณ์,ธีรพร,สารวิทยา,75
