citizen_id,std_fname,std_lname,std_school,std_point
 1213771283945,จินต์,สุนทรรังสรรค์,สารวิทยา,88
 3863419583793,ไชยรัตน์,สุนทรรังสรรค์,นวมินทราชูทิศ กรุงเทพมหานคร,93
 7023815157461,ถาวร,เติมทอง,สารวิทยา,72
 5598414613973,ทวารัตน์,เติมทอง,นวมินทราชูทิศ กรุงเทพมหานคร,93
 1725347611679,ประสิทธิ์,จันทร์เกตุ,หอวัง,22
 5145976141714,ประเสริฐ,จันทร์เกตุ,ฤทธิยะวรรณาลัย,73
 8818293509358,พจนา,เติมทอง,หอวัง,13
 2166705441491,พรทิพย์,จันต๊ะ,ฤทธิยะวรรณาลัย,21
 3275848082289,เพ็ญสินี,ทิพยสุนทรานนท์,นวมินทราชูทิศ กรุงเทพมหานคร,22
 3643974162398,เพียงตา,ประทีปทอง,สารวิทยา,34
 3274336028152,ไพโรจน์,แซ่ด่าน,นวมินทราชูทิศ กรุงเทพมหานคร,87
 7852491752913,ภาวดี,เสาวมล,นวมินทราชูทิศ กรุงเทพมหานคร,99
 9291595446445,วินัย,ตันศิวานนท์,เตรียมอุดมศึกษาน้อมเกล้า,11
 1960705236617,วิมลฑา,ธรเสนา,ฤทธิยะวรรณาลัย,64
 9052205857286,ศิรพงศ์,รักต์เธียรธรรม,สารวิทยา,29
 5316912042170,สุนิดา,สุนทรรังสรรค์,เตรียมอุดมศึกษาน้อมเกล้า,75
 6455118204572,อาทิตย์,ตันนวกิจไพบูลย์,สารวิทยา,88
 9987933091992,อุษณีย์,สุนทรรังสรรค์,สารวิทยา,93
